station: station12
radial[mm] vertical[mm] counts
-21 49 2
-21 51 1
-21 53 0
-21 55 0
-21 57 0
-21 59 2
-19 -59 0
-19 -57 1
-19 -55 2
-19 -53 3
-19 -51 1
-19 -49 1
-19 -47 4
-19 -45 7
-19 -43 6
-19 -41 6
-19 -39 23
-19 -37 36
-19 -35 94
-19 -33 189
-19 -31 332
-19 -29 611
-19 -27 982
-19 -25 1455
-19 -23 2029
-19 -21 2652
-19 -19 3411
-19 -17 4314
-19 -15 5241
-19 -13 5988
-19 -11 7197
-19 -9 7884
-19 -7 8707
-19 -5 9559
-19 -3 9812
-19 -1 9916
-19 1 9850
-19 3 9840
-19 5 9153
-19 7 8722
-19 9 7803
-19 11 6936
-19 13 5894
-19 15 5108
-19 17 4286
-19 19 3387
-19 21 2610
-19 23 1997
-19 25 1495
-19 27 990
-19 29 691
-19 31 423
-19 33 255
-19 35 120
-19 37 58
-19 39 23
-19 41 6
-19 43 7
-19 45 3
-19 47 2
-19 49 4
-19 51 1
-19 53 1
-19 55 0
-19 57 0
-19 59 0
-17 -59 1
-17 -57 2
-17 -55 0
-17 -53 2
-17 -51 2
-17 -49 2
-17 -47 3
-17 -45 2
-17 -43 5
-17 -41 12
-17 -39 23
-17 -37 38
-17 -35 101
-17 -33 215
-17 -31 440
-17 -29 662
-17 -27 1123
-17 -25 1547
-17 -23 2202
-17 -21 2795
-17 -19 3617
-17 -17 4579
-17 -15 5534
-17 -13 6445
-17 -11 7506
-17 -9 8505
-17 -7 9158
-17 -5 9914
-17 -3 10200
-17 -1 10337
-17 1 10461
-17 3 10160
-17 5 9761
-17 7 9056
-17 9 8274
-17 11 7286
-17 13 6264
-17 15 5430
-17 17 4534
-17 19 3649
-17 21 2840
-17 23 2193
-17 25 1605
-17 27 1171
-17 29 782
-17 31 487
-17 33 294
-17 35 152
-17 37 89
-17 39 34
-17 41 17
-17 43 8
-17 45 3
-17 47 5
-17 49 0
-17 51 0
-17 53 2
-17 55 0
-17 57 1
-17 59 2
-15 -59 1
-15 -57 1
-15 -55 1
-15 -53 4
-15 -51 1
-15 -49 2
-15 -47 3
-15 -45 6
-15 -43 8
-15 -41 13
-15 -39 38
-15 -37 58
-15 -35 150
-15 -33 262
-15 -31 414
-15 -29 738
-15 -27 1188
-15 -25 1657
-15 -23 2294
-15 -21 3041
-15 -19 3740
-15 -17 4901
-15 -15 5857
-15 -13 6827
-15 -11 8044
-15 -9 8965
-15 -7 9755
-15 -5 10413
-15 -3 10755
-15 -1 10969
-15 1 10681
-15 3 10729
-15 5 10271
-15 7 9514
-15 9 8812
-15 11 7763
-15 13 6601
-15 15 5740
-15 17 4679
-15 19 3774
-15 21 2944
-15 23 2360
-15 25 1702
-15 27 1272
-15 29 837
-15 31 518
-15 33 341
-15 35 175
-15 37 64
-15 39 39
-15 41 13
-15 43 12
-15 45 5
-15 47 5
-15 49 0
-15 51 3
-15 53 4
-15 55 1
-15 57 2
-15 59 1
-13 -59 1
-13 -57 0
-13 -55 1
-13 -53 2
-13 -51 1
-13 -49 0
-13 -47 4
-13 -45 7
-13 -43 9
-13 -41 14
-13 -39 40
-13 -37 51
-13 -35 143
-13 -33 258
-13 -31 541
-13 -29 804
-13 -27 1283
-13 -25 1843
-13 -23 2423
-13 -21 3203
-13 -19 4058
-13 -17 5040
-13 -15 6283
-13 -13 7326
-13 -11 8249
-13 -9 9292
-13 -7 10094
-13 -5 10938
-13 -3 11294
-13 -1 11445
-13 1 11436
-13 3 11140
-13 5 10541
-13 7 9760
-13 9 9151
-13 11 8032
-13 13 7150
-13 15 6097
-13 17 5061
-13 19 4009
-13 21 3271
-13 23 2590
-13 25 1844
-13 27 1260
-13 29 875
-13 31 576
-13 33 360
-13 35 192
-13 37 102
-13 39 43
-13 41 18
-13 43 6
-13 45 2
-13 47 6
-13 49 2
-13 51 0
-13 53 0
-13 55 1
-13 57 1
-13 59 2
-11 -59 2
-11 -57 3
-11 -55 0
-11 -53 1
-11 -51 2
-11 -49 2
-11 -47 3
-11 -45 7
-11 -43 7
-11 -41 22
-11 -39 40
-11 -37 91
-11 -35 157
-11 -33 320
-11 -31 567
-11 -29 925
-11 -27 1311
-11 -25 1909
-11 -23 2559
-11 -21 3434
-11 -19 4438
-11 -17 5363
-11 -15 6567
-11 -13 7638
-11 -11 8700
-11 -9 9582
-11 -7 10540
-11 -5 11164
-11 -3 11562
-11 -1 11852
-11 1 11742
-11 3 11599
-11 5 11146
-11 7 10345
-11 9 9341
-11 11 8431
-11 13 7538
-11 15 6344
-11 17 5234
-11 19 4194
-11 21 3419
-11 23 2641
-11 25 2006
-11 27 1409
-11 29 937
-11 31 643
-11 33 359
-11 35 214
-11 37 115
-11 39 53
-11 41 20
-11 43 5
-11 45 6
-11 47 5
-11 49 3
-11 51 0
-11 53 3
-11 55 2
-11 57 3
-11 59 2
-9 -59 0
-9 -57 0
-9 -55 2
-9 -53 1
-9 -51 2
-9 -49 1
-9 -47 4
-9 -45 4
-9 -43 6
-9 -41 22
-9 -39 39
-9 -37 82
-9 -35 185
-9 -33 367
-9 -31 591
-9 -29 969
-9 -27 1502
-9 -25 2063
-9 -23 2853
-9 -21 3660
-9 -19 4567
-9 -17 5755
-9 -15 6777
-9 -13 8043
-9 -11 9176
-9 -9 10287
-9 -7 11191
-9 -5 11608
-9 -3 12123
-9 -1 12308
-9 1 12222
-9 3 12068
-9 5 11571
-9 7 10901
-9 9 9982
-9 11 8849
-9 13 7635
-9 15 6595
-9 17 5601
-9 19 4477
-9 21 3551
-9 23 2770
-9 25 2049
-9 27 1523
-9 29 1056
-9 31 662
-9 33 432
-9 35 251
-9 37 129
-9 39 48
-9 41 22
-9 43 13
-9 45 8
-9 47 4
-9 49 1
-9 51 1
-9 53 2
-9 55 1
-9 57 1
-9 59 1
-7 -59 0
-7 -57 1
-7 -55 0
-7 -53 1
-7 -51 1
-7 -49 1
-7 -47 3
-7 -45 6
-7 -43 10
-7 -41 18
-7 -39 48
-7 -37 100
-7 -35 189
-7 -33 374
-7 -31 639
-7 -29 1060
-7 -27 1564
-7 -25 2174
-7 -23 2941
-7 -21 3859
-7 -19 4911
-7 -17 6118
-7 -15 7301
-7 -13 8412
-7 -11 9641
-7 -9 10529
-7 -7 11600
-7 -5 12276
-7 -3 12599
-7 -1 12876
-7 1 12868
-7 3 12521
-7 5 11981
-7 7 11219
-7 9 10371
-7 11 9283
-7 13 8117
-7 15 6928
-7 17 5944
-7 19 4808
-7 21 3693
-7 23 2989
-7 25 2285
-7 27 1604
-7 29 1102
-7 31 706
-7 33 422
-7 35 292
-7 37 153
-7 39 60
-7 41 33
-7 43 7
-7 45 7
-7 47 4
-7 49 1
-7 51 5
-7 53 1
-7 55 2
-7 57 1
-7 59 0
-5 -59 0
-5 -57 2
-5 -55 2
-5 -53 1
-5 -51 2
-5 -49 3
-5 -47 0
-5 -45 8
-5 -43 14
-5 -41 22
-5 -39 52
-5 -37 121
-5 -35 221
-5 -33 380
-5 -31 649
-5 -29 1091
-5 -27 1547
-5 -25 2352
-5 -23 3212
-5 -21 4039
-5 -19 5259
-5 -17 6184
-5 -15 7526
-5 -13 8865
-5 -11 9881
-5 -9 11013
-5 -7 12094
-5 -5 12878
-5 -3 13149
-5 -1 13317
-5 1 13290
-5 3 13108
-5 5 12611
-5 7 11902
-5 9 10814
-5 11 9706
-5 13 8514
-5 15 7356
-5 17 6069
-5 19 4905
-5 21 4046
-5 23 3148
-5 25 2322
-5 27 1700
-5 29 1233
-5 31 724
-5 33 486
-5 35 294
-5 37 133
-5 39 83
-5 41 39
-5 43 19
-5 45 11
-5 47 2
-5 49 2
-5 51 0
-5 53 6
-5 55 0
-5 57 2
-5 59 0
-3 -59 0
-3 -57 0
-3 -55 0
-3 -53 0
-3 -51 3
-3 -49 3
-3 -47 6
-3 -45 8
-3 -43 11
-3 -41 15
-3 -39 54
-3 -37 116
-3 -35 203
-3 -33 427
-3 -31 757
-3 -29 1259
-3 -27 1750
-3 -25 2424
-3 -23 3191
-3 -21 4347
-3 -19 5262
-3 -17 6898
-3 -15 7913
-3 -13 9363
-3 -11 10435
-3 -9 11554
-3 -7 12624
-3 -5 13327
-3 -3 13799
-3 -1 14161
-3 1 13971
-3 3 13432
-3 5 12911
-3 7 12237
-3 9 11020
-3 11 10277
-3 13 8947
-3 15 7526
-3 17 6549
-3 19 5328
-3 21 4230
-3 23 3220
-3 25 2397
-3 27 1833
-3 29 1285
-3 31 822
-3 33 526
-3 35 291
-3 37 159
-3 39 82
-3 41 36
-3 43 16
-3 45 7
-3 47 7
-3 49 3
-3 51 1
-3 53 2
-3 55 0
-3 57 2
-3 59 0
-1 -59 2
-1 -57 1
-1 -55 3
-1 -53 3
-1 -51 1
-1 -49 3
-1 -47 2
-1 -45 6
-1 -43 15
-1 -41 32
-1 -39 57
-1 -37 147
-1 -35 238
-1 -33 485
-1 -31 739
-1 -29 1256
-1 -27 1899
-1 -25 2596
-1 -23 3509
-1 -21 4570
-1 -19 5772
-1 -17 6977
-1 -15 8348
-1 -13 9687
-1 -11 10963
-1 -9 12001
-1 -7 12990
-1 -5 14029
-1 -3 14346
-1 -1 14440
-1 1 14384
-1 3 14019
-1 5 13760
-1 7 12840
-1 9 11969
-1 11 10367
-1 13 9436
-1 15 8063
-1 17 6776
-1 19 5601
-1 21 4448
-1 23 3460
-1 25 2601
-1 27 1900
-1 29 1332
-1 31 867
-1 33 552
-1 35 305
-1 37 165
-1 39 87
-1 41 33
-1 43 20
